source,site_name,site_id,geometry
SCAN,Gulkana River,SCAN:2222,"c(-145.38, 62.41)"
SCAN,Spring Creek,SCAN:2044,"c(-149.13, 61.66)"
SCAN,Unalakleet,SCAN:2221,"c(-160.75, 63.91)"
SCAN,Canyon Lake,SCAN:1232,"c(-161.16, 59.42)"
SCAN,Checkers Creek,SCAN:2213,"c(-164.71, 65.4)"
SCAN,Hozatka Lake,SCAN:2210,"c(-156.63, 65.2)"
SCAN,Innoko Camp,SCAN:2211,"c(-158.03, 63.64)"
SCAN,Kanuti Lake,SCAN:2212,"c(-151.74, 66.18)"
SCAN,Naknek River,SCAN:2209,"c(-156.57, 58.67)"
SCAN,Kanaryagak Camp,SCAN:2208,"c(-165.12, 61.36)"
SCAN,Lower Mulchatna,SCAN:1233,"c(-156.99, 59.82)"
SCAN,Weary Lake,SCAN:1234,"c(-159.09, 59.13)"
SCAN,Nenana,SCAN:2081,"c(-148.91, 64.69)"
SCAN,Tok,SCAN:2080,"c(-142.98, 63.35)"
SCAN,Aniak,SCAN:2065,"c(-159.58, 61.58)"
SCAN,Moose Inc,SCAN:2062,"c(-151.37, 59.68)"
SCAN,Schor Garden,SCAN:2063,"c(-151.38, 59.68)"
SNTL,McGrath,SNTL:785,"c(-155.61, 62.95)"
SNTL,East Palmer,SNTL:953,"c(-149.1, 61.6)"
SNTL,Galena AK,SNTL:429,"c(-156.71, 64.7)"
SNTL,Flower Mountain,SNTL:1285,"c(-136.28, 59.4)"
SNTL,Heen Latinee,SNTL:1270,"c(-134.86, 58.7)"
SNTL,Jack Wade Jct,SNTL:1275,"c(-141.33, 64.15)"
SNTL,Lower Kachemak Creek,SNTL:1265,"c(-150.69, 59.74)"
SNTL,Alexander Lake,SNTL:1267,"c(-150.89, 61.75)"
SNTL,Telaquana Lake,SNTL:1266,"c(-153.92, 60.98)"
SNTL,Mcneil River SGS,SNTL:1191,"c(-154.28, 59.08)"
SNTL,American Creek,SNTL:1189,"c(-141.23, 64.79)"
